Node,In Degree,Out Degree,Betweeness Centrality
PHIL,3,2,0.1942645698427382
FTVL,2,2,0.3885291396854764
CIVC,2,2,0.3422756706753007
COLS,3,3,0.3755781683626272
PLZA,2,2,0.08325624421831637
WOAK,3,3,0.4273820536540241
CONC,2,2,0.15911193339500462
COLM,2,2,0.15911193339500462
NCON,2,2,0.12210915818686402
SFIA,2,2,0.02127659574468085
WDUB,2,2,0.0425531914893617
DALY,2,2,0.1942645698427382
EMBR,2,2,0.40888066604995377
SBRN,3,3,0.08371877890841814
HAYW,2,2,0.15911193339500462
LAFY,2,2,0.2590194264569843
DBRK,2,2,0.15911193339500462
12TH,3,3,0.5800185013876041
SHAY,2,2,0.12210915818686402
PITT,2,2,0.08325624421831637
CAST,2,2,0.08325624421831637
MONT,2,2,0.3885291396854764
POWL,2,2,0.36632747456059206
ROCK,3,2,0.31637372802960223
SANL,2,2,0.31637372802960223
16TH,2,2,0.31637372802960223
OAKL,1,1,0.0
FRMT,2,2,0.0425531914893617
BALB,2,2,0.22756706753006475
DELN,2,2,0.0425531914893617
MCAR,3,4,0.5143385753931545
WARM,1,1,0.0
24TH,2,2,0.28862164662349676
WCRK,2,3,0.22756706753006475
ANTC,1,1,0.0
MLBR,2,2,0.0
GLEN,2,2,0.2590194264569843
NBRK,2,2,0.12210915818686402
ORIN,2,2,0.28862164662349676
BAYF,3,3,0.3024976873265495
LAKE,3,3,0.40888066604995377
ASHB,2,2,0.1942645698427382
UCTY,2,2,0.08325624421831637
19TH,2,2,0.4717853839037928
DUBL,1,1,0.0
RICH,1,1,0.0
SSAN,2,2,0.12210915818686402
PCTR,2,2,0.0425531914893617
