Node,In Degree,Out Degree,Page Rank 0.95,Betweeness Centrality
2,294,313,0.0005264111407022161,0.00023021025870294872
3,221,173,0.0006020484709439549,0.039154511120156416
5,64,9,0.000526873963720957,0.001762721063015332
6,187,115,0.0005788027188181022,0.0014427065608811605
7,191,114,0.0005395618544325681,0.0007859956538082561
8,179,166,0.0004682461504202972,0.0006433653848292552
9,527,592,0.0009885787683244188,0.00042941998136075395
10,29,10,0.0001889971289794049,5.282602554777809e-06
11,339,344,0.0006434658689870246,0.00186753901897066
12,19,24,7.880032436373455e-05,0.00025134066892205996
13,40,2,0.0019597376445474827,1.1121268536374334e-06
14,33,30,0.00016454378484534308,0.0014755143030634648
16,19,21,6.973366069314614e-05,2.7803171340935835e-07
17,90,65,0.0004397042101460231,0.0008357633305085312
20,570,622,0.0011571677303381666,0.0004070384284313006
21,286,358,0.0004805020927235418,2.3076632212976744e-05
23,27,35,7.134124839626103e-05,7.423446748029867e-05
24,29,31,7.388176004234032e-05,2.2242537072748668e-06
25,191,123,0.0005496549631753418,0.0012797799768232765
26,72,62,0.00023629606153580774,1.5291744237514708e-05
27,89,126,0.00020897683628206472,4.67093278527722e-05
28,21,25,6.031413245054836e-05,0.0009914610900177718
30,263,289,0.0003878111889435479,0.00033336002437782066
31,199,209,0.0002580473053009453,0.0001214998587598896
37,196,201,0.00027080429501929754,8.618983115690108e-06
38,232,185,0.0006016612083074048,0.007988407189677684
39,216,243,0.00042280313439234173,0.001307305116450803
40,28,36,6.975138955460703e-05,8.618983115690108e-06
41,127,164,0.00021601626790207254,0.0005877590421473835
42,278,223,0.0005284222422576016,0.004236925280645212
43,88,137,0.00013466430305748722,9.703306797986606e-05
44,336,340,0.0004852478334353985,3.030545676162006e-05
46,673,662,0.00115444259048407,0.004125434563568059
47,240,269,0.000324795390001541,0.0005307625408984651
48,12,3,0.00025480735181373284,1.8350093085017652e-05
52,275,242,0.000412339315071493,0.0006141720549212726
55,77,92,0.0001017862202030027,8.34095140228075e-07
56,106,108,0.00016543075443556298,0.000782103209820525
57,440,477,0.0007334372880371328,0.004042303081258661
58,462,438,0.0007399714615445928,0.0013537364125901657
59,141,138,0.00021959179753258968,0.0010406727032912283
60,517,452,0.0009198424961573609,0.0018236100082519814
61,498,458,0.0008516579392696141,0.005063513564611234
62,260,298,0.0004961977574884598,0.00011121268536374334
63,284,344,0.0005032734548187957,0.00034614948319465114
64,544,531,0.0009959590287376445,0.00392552976162673
65,652,566,0.0012563120443143299,0.00165957129734046
66,311,277,0.00048665747764706886,0.0059584976500759584
69,21,23,7.412829964611805e-05,3.6144122743216586e-06
73,189,167,0.0004932396677998943,0.0077214967448047
74,320,401,0.0005933062610481842,0.002029909539601725
75,89,87,0.0002534902650355303,6.1166976950058835e-06
76,67,61,0.00013544476664079972,8.618983115690108e-06
77,213,226,0.00032669137849226834,0.0007656993387293729
78,282,283,0.00042127672056347867,0.0002035192142156503
79,640,644,0.0013273847500486688,0.0005735794247635062
80,466,458,0.0008682701395924255,0.0010159278807977954
81,361,358,0.0005343960176164925,0.0063854153460160285
82,715,596,0.0012889546856736972,0.003390040681600306
83,64,56,0.00019070303324143458,0.0003717284008283121
86,320,326,0.0005757292009290951,8.201935545576071e-05
87,582,584,0.0011477488733453237,0.0032209973998474166
88,126,128,0.00043042169938530884,2.502285420684225e-06
89,187,158,0.0005744919472508254,0.0006658859536154133
90,271,283,0.00038682827064102844,0.0012544790909030249
91,871,808,0.0019308096340288903,0.007200326298018858
92,89,31,0.00041759281175805986,0.00047932667391773376
93,104,60,0.0004096275871744603,0.0006797875392858812
94,76,12,0.00029218990355148373,0.0004826630544786461
96,365,353,0.000544225261754322,0.0006180644989090036
97,128,127,0.00019431750177053178,0.0007884979392289403
98,858,847,0.001647089698045434,0.003259365776297908
99,261,274,0.00032648998357570017,0.0008908136097635841
100,308,308,0.0005298490229256598,0.00015653185464946875
101,96,139,0.00014725950180111662,0.00010648614623578425
102,472,504,0.0007820667122690683,0.0032874469793522532
103,626,579,0.001127139624689327,0.0028745698849393557
104,621,567,0.0011923634349842987,0.0037300734670999516
105,333,358,0.0006681084133246512,0.00020852378505701875
107,155,199,0.00024316514478217789,0.0003097273287380252
108,752,724,0.0013984945815399105,0.007110244022874226
109,108,127,0.0001417836503219227,0.0011541096423622465
111,47,3,0.0013870371480272123,0.0009639359503902454
113,532,550,0.0009658741140507278,0.004085119965123702
115,18,2,0.00010412454157175285,0.0009508684598600055
116,202,233,0.0003159747148996124,2.1130410219111236e-05
117,197,222,0.000261483848681165,0.00012928474673535163
118,234,261,0.00035537651685717497,0.00037534281310263375
119,199,220,0.00029386567512737564,3.5866091029807226e-05
121,2,0,0.00011443480952819105,0.0
122,15,4,6.28006596407315e-05,0.0023148920458463174
123,589,559,0.0011057463540926147,0.0008877552609160812
125,294,309,0.0005168448996601164,0.00027469533284844606
126,82,20,0.0004086008548447237,0.0005627361879405413
127,452,412,0.0009049557106734396,0.0003578268151578442
128,377,409,0.0006137816620894256,0.0012269539512754983
131,295,317,0.00043444113463344446,9.48088142725912e-05
132,201,206,0.00028422465804215275,0.0004943403864418392
133,316,308,0.0004979558138570001,0.00019573432624018827
134,161,189,0.00024205618608173058,0.0005691309173489565
135,2,0,4.1666558191082166e-05,0.0
136,32,26,9.429017630716164e-05,0.0002035192142156503
137,25,33,8.847567803308687e-05,1.6403871091152144e-05
138,193,186,0.0004874297381434528,0.0006475358605303956
141,188,170,0.0005282538266275509,0.0026774454001321207
142,152,139,0.0004266260359404047,0.0006366926237074307
143,53,66,0.00011719568505761288,2.502285420684225e-06
146,171,162,0.0004905719539849556,0.0009183387493911106
147,2,2,0.0005672679974762659,0.0
150,107,56,0.0004530605719091511,0.005664340097288858
151,484,523,0.0007436969657614914,6.533745265119921e-05
152,298,310,0.00047720919099083434,6.533745265119921e-05
153,592,562,0.0011110499047270119,0.0022217514218541823
154,248,288,0.00041479034515618337,2.8081203054345193e-05
155,642,522,0.0012877013991855384,0.007793367942721019
156,294,340,0.0006086239761065137,0.001339834826919698
157,66,72,0.00010161616732082695,0.0049781578285945614
158,30,34,0.00015563334451215754,2.696907620070776e-05
159,71,64,0.00029631091200249386,0.001028161276187807
160,36,36,0.00017598958100397007,1.7794029658198934e-05
165,527,551,0.0010494398771255348,0.0017411736052261066
167,200,250,0.00026972670226980424,3.280774218230429e-05
168,192,201,0.0002747818325552079,0.0001676531231858431
169,281,255,0.00037998985744781176,0.0005060177184050322
170,75,102,0.00014518384556276012,0.00018544715284404202
171,96,109,0.00017314783700653593,9.175046542508826e-06
172,61,60,0.00017019559895595503,1.807206137160829e-05
173,226,267,0.00033978058982380615,6.756170635847408e-05
174,275,297,0.00044174235760439235,6.644957950483664e-05
175,319,295,0.0005071216878569621,0.0006341903382867464
176,581,460,0.0010787925508761503,0.002864560743256619
177,18,14,6.32110781005178e-05,0.0
178,51,96,8.347385383408311e-05,6.394729408415242e-06
179,67,11,0.0005023694949711877,1.1399300249783692e-05
181,687,661,0.0011324025833692253,0.001596736130109945
182,101,142,0.00024941193774638185,7.979510174848585e-05
184,696,666,0.0014711989340418143,0.00037006021054785597
186,388,409,0.0006861164822224843,0.006211506509278475
187,279,260,0.00043472754429177776,0.0001968464530938257
188,60,3,0.00030740951522668756,0.001329825685236961
191,99,134,0.0001537223245784755,0.00010565205109555617
193,346,371,0.0006516642422166116,0.002985782570303099
194,503,588,0.0008073357950028054,0.0033358244974854814
195,359,301,0.0006100960595280582,0.0023852340693388853
196,146,178,0.0002553289043274197,5.0045708413684504e-05
198,79,137,0.00014550978475826764,2.168647364592995e-05
199,35,44,6.981385475453801e-05,0.0005894272324278397
204,33,40,0.0001813526797927139,3.0583488475029418e-06
206,1040,1051,0.002308455602134607,0.005258274779854489
207,431,443,0.0006957405567780498,0.0007237165500045598
208,449,473,0.0007481498231447773,0.0005644043782209974
209,994,1002,0.002222415732838345,0.013429070773528713
210,705,657,0.0014506409588852754,0.0032613119982917733
211,437,420,0.0008814156570743309,0.001723240559711203
212,639,731,0.0013353528726630078,0.0005763597418975998
215,18,17,8.042457755149231e-05,4.226082043822247e-05
216,395,313,0.0006404564517192133,0.002206320661759963
217,236,274,0.0004270378876611625,0.0004684834370947688
218,431,421,0.0008046054659813351,0.004556939782779383
219,165,242,0.0002661644816657498,5.226996212095937e-05
220,294,263,0.0004932183355545054,0.0034103369966791896
221,211,185,0.00039809082420347124,0.0006461457019633488
222,194,293,0.00035229326306286153,0.00045458185142430087
223,67,104,0.00012052816259097403,3.0583488475029418e-06
224,81,103,0.00015461097171993866,2.7803171340935835e-07
225,149,201,0.00021007991798401005,0.0003906345573401485
229,56,28,0.00021993741756542827,5.477224754164359e-05
230,11,0,0.0001965796777962269,0.0
231,5,0,4.70009390282536e-05,0.0
232,780,807,0.0016489618585590604,0.0034317454386117103
233,229,246,0.00033417062288798545,0.003871591609225315
234,1353,1317,0.0037430231911249274,0.0013317719072308265
235,289,352,0.0004653133344697365,0.0003250190729755399
237,395,405,0.0007409600687486802,5.560634268187167e-06
238,38,59,0.00010294506980823075,1.9462219938655086e-06
239,200,168,0.0005915261706286945,0.002491164152147851
240,20,15,8.875575712423702e-05,0.0005192242247919767
241,198,190,0.0004525021551176978,0.0010773728894612636
242,306,295,0.0006445745239732539,0.0013042467676033
243,32,40,6.42728643636402e-05,0.0
246,34,38,6.881984855394612e-05,0.0
247,32,24,0.0001401961474901355,0.0004879456570334239
251,299,307,0.0005688211406418406,0.0009436396353113622
252,111,78,0.00033156479286522824,0.0006441994799694832
253,218,239,0.0004187451571114873,0.005707156981153899
254,176,156,0.0004795333341229705,0.0009439176670247716
262,173,150,0.0004895621758900205,0.0014721779225025525
264,409,383,0.0008311858516396053,0.0012247296975682236
268,132,129,0.0003988176466844183,0.0009216751299520229
269,117,125,0.0001676998150730431,0.0016389969505481675
270,63,60,0.00012691173149610737,0.0010737584771869418
272,201,244,0.0002870354372639512,0.00037256249596854016
273,337,307,0.000669422010816693,0.0011293648198688136
274,82,67,0.00022264362340716743,0.0015544753096717226
275,141,137,0.00023513682518457333,0.0003564366565907974
276,30,29,8.503779303909851e-05,2.7803171340935836e-05
277,634,552,0.0012249327179635508,0.005712717615422086
279,66,68,0.0001407301722371388,2.835923476775455e-05
280,311,244,0.0005491419716326443,0.0012425237272264225
281,115,148,0.00018747334672122523,0.00032279481926826504
282,91,91,0.00017873675065903033,4.8099486419818996e-05
283,320,365,0.0004469110709950196,0.00013178703215603585
284,468,520,0.0007129359840682066,0.0005168609552279971
285,1007,1004,0.0019331049904539556,0.00876369862251968
286,668,656,0.0011346074634394007,0.0055994196922077724
287,235,263,0.0002850481052774717,0.000526036001770506
288,362,502,0.0005509406525190338,0.0012077697630502526
289,96,114,0.0001306085809864175,0.00012205592218670831
290,136,158,0.0001964499398948792,0.0001829448674233578
291,67,66,0.0001452874132328272,0.0
294,201,232,0.0005588757060117395,0.0013351082877917388
295,59,201,0.00011770519434982056,0.0005007351158502544
296,141,140,0.00026598498822024265,0.00016237052063106528
297,93,44,0.0003042341956473816,0.00010787630480283104
299,460,509,0.0009014544554803945,0.00018600321627086075
300,332,396,0.0006114493807196906,0.002856497823567748
301,70,79,0.00015765492114382465,6.200107209028691e-05
302,213,231,0.0003058820649611074,2.7803171340935836e-06
303,950,914,0.0019683685889729393,0.053741722995891805
304,659,615,0.0013369558529781258,0.037405552626954844
305,21,8,0.00016322627022399375,0.0021097046413502112
306,655,623,0.0013017766647213617,0.008004672044912132
308,226,261,0.0003881837566710401,0.0007164877254559165
309,297,251,0.0005760526684195591,0.0022665145277130892
311,685,636,0.0013925312654538154,0.004366210027380564
312,118,88,0.00035205268733431923,0.0005599558708064477
313,6,2,0.00018647899692837697,0.0
314,604,587,0.001201610170155646,0.003419234011508289
315,577,678,0.0010896120016311945,0.003916632746797631
316,63,60,9.022414589218913e-05,0.00012177789047329896
317,1,0,4.160343375968128e-05,0.0
321,879,860,0.0017285338867822349,0.001815964136133224
322,635,616,0.0010208615131224949,0.0010734804454735325
323,451,347,0.0006611508046746193,0.00034475932462760435
324,358,343,0.0006701955492367467,0.016521200474210893
325,176,218,0.00029470980861684583,0.0005866469152937461
326,321,296,0.000585446217939105,0.00031528796300621235
328,540,484,0.001088706029299527,0.001997796876702944
329,65,159,0.00012146864232796501,2.835923476775455e-05
330,226,263,0.00044425914416161246,0.000714541503462051
331,194,229,0.0003997108230713248,0.0024580783782521373
332,83,70,0.00013101295337380504,2.7803171340935835e-07
333,460,486,0.0007150723666362953,0.0025640084610611025
334,127,142,0.00020419610158252727,0.0009241774153727071
335,171,173,0.00036048719624112355,0.002312111728712224
338,839,812,0.0018189408925427528,0.006408909025799119
339,169,197,0.00026274831240966073,2.7803171340935835e-07
342,18,2,0.0003181435447151613,4.782145470640964e-05
344,116,106,0.0005206847238066855,0.008295354201281616
345,655,662,0.0013021495529239153,0.0011185215830458487
346,238,297,0.0004052384965630545,9.453078255918183e-05
347,485,516,0.0009574958323366271,0.0038025007284430896
349,307,278,0.00059398934934284,0.004446561192555868
351,489,450,0.0007834356611187566,0.0031703956280069133
352,256,266,0.00039436423200485724,0.00047654635678364023
353,124,165,0.00018720072658283646,5.2826025547778084e-05
362,4,4,0.00016152981295776837,0.00022131324387384926
365,199,171,0.0005299967453281999,0.027496363345188606
366,178,121,0.0005574388311237153,0.0037778949218063612
367,33,24,7.81062948043462e-05,0.0024397282851671195
369,145,136,0.0002666633043293527,0.0008343731719414844
370,57,75,7.867856989056201e-05,9.453078255918183e-06
371,117,127,0.0001732440799819085,0.0015311206457453365
372,215,238,0.0004082582310089415,0.0013506780637426627
374,5,0,7.029057703088998e-05,0.0
377,33,36,0.00016315797469007004,0.0005340989214593774
378,21,21,8.425050927953464e-05,8.34095140228075e-07
380,671,658,0.0013002416055510411,0.005539364842111351
382,243,249,0.00042811945801038545,0.0005833105347328338
384,103,55,0.0006815821863007541,0.0017421467162230394
385,567,503,0.0009492241521567755,0.04975099479747058
386,238,241,0.00038275958073541433,5.9776818383012045e-05
387,524,532,0.0008416227025897852,0.0034614948319465115
388,551,659,0.0009443292538187507,0.0016498401873711324
389,476,576,0.0007317265039961642,0.0016294048564355445
390,182,198,0.00028056211087150505,0.0005090760672525352
391,442,399,0.0008336569167794648,0.0008199155228441978
392,659,625,0.0012341728752448056,0.0024422305705878037
393,170,177,0.0002525205623061467,0.0001743258843076677
394,436,515,0.000771158257078606,0.0037990253320254724
395,255,282,0.00041353384331321836,0.00022437159272135218
396,388,292,0.0006305753133348086,0.0018030356614596888
397,199,213,0.00034234926898880056,0.0005201973357889095
398,169,164,0.0003082261774609231,0.000637804750561068
399,208,185,0.0005406050847257042,0.0032918954867668026
400,75,70,0.0001520917692842496,0.000144298459259457
401,26,33,6.425612465725727e-05,0.00020407527764246903
403,292,290,0.0006236457806504097,0.0006619935096276822
406,4,5,0.00010791040798071772,0.000998689914566415
408,301,299,0.00043143594833104523,0.00017571604287471446
409,259,260,0.00035353940233503534,0.00024800428836114764
410,75,66,0.00012632454501811913,0.0
414,29,32,8.302160188975584e-05,0.0018008114077524141
415,291,271,0.000489596440523848,0.002466697361367827
416,454,283,0.0008651536280471079,0.0031203499195932285
417,396,512,0.0006229949469704509,0.0011299208832956324
418,96,102,0.00014026206228291124,0.00010398386081510002
419,245,248,0.00038467261223567976,7.784887975462034e-05
420,135,123,0.00040404529912291097,0.002687732573528267
421,68,75,9.142047909683939e-05,0.0003311357706705458
422,187,248,0.00028630091518051304,0.00010537401938214682
423,364,285,0.0007139372748173962,0.001739366399088946
431,410,486,0.0007905078492626658,0.0009008227514463211
432,93,46,0.0003520649208095029,0.010284949142438984
433,619,772,0.0011123592134170126,0.0017746764266919344
434,660,622,0.0014250379152458894,0.0009243164312294118
435,127,117,0.00019478509223919916,0.00028192415739708936
436,366,339,0.0006297173399308523,0.0012441919175068786
437,166,181,0.00025520481419762174,2.9749393334801344e-05
438,333,344,0.0005953616663294616,0.0007017520446452205
439,29,32,8.174553284738076e-05,4.198278872481311e-05
440,26,24,5.169800548583139e-05,0.00047487816650318405
443,367,391,0.0005890402872587874,0.002156135937489574
445,426,421,0.0007450990624931472,0.0009608776015427424
446,442,465,0.0006759660626879636,0.0003644995762796688
447,775,786,0.0014858559388031896,0.0023613233419856805
448,282,276,0.00047872490481786753,0.0002321564806968142
451,60,5,0.000960396325089261,0.0006956353469502145
452,494,544,0.0009901315742112406,0.0008001752711921333
454,246,251,0.00038389989503126426,0.0004359537266258739
455,403,378,0.0006807244064652305,0.0010073088976821052
456,293,321,0.00039456080520389815,0.00032724332668281476
457,868,883,0.0015650956124545932,0.003879376497200777
458,872,850,0.0017200489078689357,0.0028826328046282273
459,250,286,0.00031350035142574753,9.592094112622863e-05
460,252,287,0.0003114584764270052,0.00017515997944789576
461,203,237,0.0002743428611882919,5.699650124891846e-05
